Row,Study,Data_Type,City,State,Country,Year,Crop,Elevated_CO2_Target_ppm,Elevated_CO2_Achieved_ppm,Ambient_CO2_ppm,FACE_Ring_Diameter_m,SampleCode,Replicate,Ring,Plot,Temperature_Qualitative,Water_Qualitative,Precipitation_mm,Irrigation_mm,Total_Water_mm,Nitrogen_Application_Qualitative,Nitrogen_Application_Quantitative,Phosphorus_Application_Quantitative,Potassium_Application_Quantitative,Sowing_Timing_Qualitative,Sowing_Timing_Quantitative,Cultivar,CO2_Treatment,N_percent,P_percent,K_percent,Ca_percent,Mg_percent,Zn_ppm,Fe_ppm,S_ppm,B_ppm,Mn_ppm,Cu_ppm,Phy_Ext1_Precip1,Phy_Ext1_Precip2,Phy_Ext1_Avg,Phy_Ext2_Precip1,Phy_Ext2_Precip2,Phy_Ext2_Avg,Phy_Ext3_Precip1,Phy_Ext3_Precip2,Phy_Ext3_Avg,Phy_Grand_Avg
12,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-11,1,2,J,Ambient,Dry,171,48,219,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.75,0.3,0.440,0.042,0.121,29.52,32.04,1760,1.0,42,5.0,NA,NA,1.88,NA,NA,2.04,NA,NA,NA,1.96
13,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-12,1,2,K,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Janz,aCO2,2.71,0.29,0.420,0.042,0.122,28.14,33.08,1770,1.7,43,4.8,NA,NA,1.70,NA,NA,1.56,NA,NA,NA,1.63
14,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-13,1,3,B,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Janz,eCO2,2.38,0.3,0.440,0.047,0.123,33.34,34.11,1610,2.0,44,5.0,NA,NA,1.98,NA,NA,2.16,NA,NA,NA,2.07
15,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-14,1,3,C,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.62,0.32,0.470,0.052,0.122,39.63,35.66,1780,1.2,40,5.7,NA,NA,1.99,NA,NA,2.28,NA,NA,NA,2.14
16,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-15,1,3,E,Ambient,Wet,111,96,207,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.52,0.29,0.470,0.043,0.116,28.76,34.59,1660,1.5,36,4.9,NA,NA,2.02,NA,NA,2.17,NA,NA,NA,2.10
17,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-16,1,3,H,Ambient,Wet,171,96,267,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.51,0.32,0.510,0.049,0.114,25.04,27.26,1670,0.87,41,4.5,NA,NA,1.46,NA,NA,1.73,NA,NA,NA,1.59
18,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-17,1,3,J,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.47,0.3,0.460,0.043,0.111,28.59,29.76,1620,0.94,34,4.8,NA,NA,1.66,NA,NA,1.55,NA,NA,NA,1.60
19,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-18,1,3,K,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Janz,eCO2,2.39,0.31,0.430,0.046,0.119,27.85,26.31,1600,1.0,37,4.3,NA,NA,2.15,NA,NA,1.93,NA,NA,NA,2.04
20,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-19,1,4,B,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Janz,eCO2,2.58,0.3,0.460,0.045,0.114,29.68,28.53,1670,1.7,37,4.7,NA,NA,1.31,NA,NA,1.58,NA,NA,NA,1.45
21,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-20,1,4,C,Ambient,Dry,171,48,219,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.57,0.3,0.450,0.045,0.111,29.42,29.64,1680,1.0,38,5.4,NA,NA,1.10,NA,NA,1.54,NA,NA,NA,1.32
22,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-21,1,4,E,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.59,0.31,0.510,0.042,0.112,32.31,28.68,1760,0.81,36,5.4,NA,NA,1.96,NA,NA,1.58,NA,NA,NA,1.77
23,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-22,1,4,H,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Janz,eCO2,2.47,0.33,0.490,0.050,0.130,29.7,34.82,1670,2.3,44,4.8,NA,NA,2.12,NA,NA,2.26,NA,NA,NA,2.19
24,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-23,1,4,J,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.57,0.33,0.500,0.040,0.118,29.13,33.67,1650,1.7,49,5.2,NA,NA,1.81,NA,NA,1.81,NA,NA,NA,1.81
25,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-24,1,4,K,Ambient,Dry,111,48,159,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.64,0.34,0.500,0.050,0.127,32.78,34.59,1740,1.4,40,5.0,NA,NA,2.32,NA,NA,1.98,NA,NA,NA,2.15
26,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-25,2,5,B,Ambient,Dry,111,48,159,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.75,0.35,0.540,0.056,0.127,23.72,36.44,1780,1.3,43,4.6,NA,NA,2.70,NA,NA,2.44,NA,NA,NA,2.57
27,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-26,2,5,C,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Janz,eCO2,2.50,0.36,0.510,0.050,0.136,21.98,35.92,1640,2.0,47,4.3,NA,NA,3.59,NA,NA,3.69,NA,NA,NA,3.64
28,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-27,2,5,E,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.66,0.35,0.500,0.047,0.129,22.59,38.71,1820,1.6,48,4.8,NA,NA,2.22,NA,NA,2.12,NA,NA,NA,2.17
29,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-28,2,5,H,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Janz,eCO2,2.88,0.35,0.480,0.038,0.131,21.29,32.8,1780,2.5,50,4.9,NA,NA,3.42,NA,NA,3.03,NA,NA,NA,3.23
30,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-29,2,5,J,Ambient,Dry,171,48,219,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.76,0.34,0.520,0.042,0.119,18.86,33.38,1800,1.0,44,4.7,NA,NA,1.30,NA,NA,1.06,NA,NA,NA,1.18
31,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-30,2,5,K,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.74,0.37,0.510,0.042,0.126,18.95,33.78,1780,1.1,51,4.9,NA,NA,1.79,NA,NA,1.56,NA,NA,NA,1.67
32,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-31,2,6,B,Ambient,Wet,171,96,267,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.60,0.3,0.440,0.042,0.110,28.62,28.76,1670,0.86,43,5.1,NA,NA,1.64,NA,NA,1.45,NA,NA,NA,1.55
33,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-32,2,6,C,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Janz,eCO2,2.34,0.29,0.440,0.046,0.115,24.45,28.17,1570,1.1,42,4.7,NA,NA,2.03,NA,NA,2.03,NA,NA,NA,2.03
34,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-33,2,6,E,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.60,0.3,0.480,0.041,0.114,34.89,33.47,1830,0.90,41,5.5,NA,NA,1.53,NA,NA,1.61,NA,NA,NA,1.57
35,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-34,2,6,H,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Janz,eCO2,2.86,0.35,0.450,0.043,0.137,33.68,38.98,1750,1.8,50,5.0,NA,NA,2.79,NA,NA,2.60,NA,NA,NA,2.69
36,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-35,2,6,J,Ambient,Wet,111,96,207,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.62,0.31,0.480,0.047,0.118,32.34,35.32,1700,1.1,44,5.3,NA,NA,1.69,NA,NA,1.80,NA,NA,NA,1.75
37,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-36,2,6,K,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.69,0.33,0.470,0.049,0.123,36.34,38.08,1780,1.2,48,5.5,NA,NA,2.15,NA,NA,1.94,NA,NA,NA,2.05
38,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-37,2,7,B,Ambient,Wet,111,96,207,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.61,0.29,0.440,0.048,0.120,30.43,36.12,1710,1.2,45,4.6,NA,NA,1.88,NA,NA,1.71,NA,NA,NA,1.79
39,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-38,2,7,C,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.62,0.31,0.450,0.046,0.123,30.59,36.92,1710,1.2,49,5.2,NA,NA,2.25,NA,NA,2.14,NA,NA,NA,2.19
40,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-39,2,7,E,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Janz,aCO2,2.53,0.33,0.430,0.056,0.137,31.78,34.21,1700,1.6,50,4.4,NA,NA,2.17,NA,NA,2.28,NA,NA,NA,2.23
41,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-40,2,7,H,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Janz,aCO2,2.55,0.31,0.410,0.042,0.126,25.91,29.43,1680,1.3,49,4.9,NA,NA,1.94,NA,NA,1.66,NA,NA,NA,1.80
42,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-41,2,7,J,Ambient,Wet,171,96,267,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.72,0.31,0.430,0.040,0.119,29.98,33.51,1780,0.97,38,5.0,NA,NA,2.18,NA,NA,2.76,NA,NA,NA,2.47
43,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-42,2,7,K,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.56,0.29,0.420,0.041,0.115,29.94,32.97,1690,1.1,48,5.6,NA,NA,1.90,NA,NA,1.74,NA,NA,NA,1.82
44,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-43,2,8,B,Ambient,Dry,171,48,219,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.75,0.3,0.430,0.042,0.122,32.65,32.8,1830,0.94,40,5.4,NA,NA,1.29,NA,NA,1.82,NA,NA,NA,1.56
45,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-44,2,8,C,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.66,0.31,0.460,0.043,0.117,32.77,34.89,1780,0.91,44,5.4,NA,NA,2.31,NA,NA,2.05,NA,NA,NA,2.18
46,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-45,2,8,E,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Janz,aCO2,2.78,0.32,0.460,0.040,0.127,26.89,35.14,1800,1.4,45,5.2,NA,NA,1.77,NA,NA,1.72,NA,NA,NA,1.74
47,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-46,2,8,H,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.94,0.36,0.500,0.042,0.133,33.53,44.18,1950,1.6,49,6.1,NA,NA,2.14,NA,NA,2.07,NA,NA,NA,2.11
48,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-47,2,8,J,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Janz,aCO2,2.51,0.32,0.430,0.049,0.137,24.2,35.01,1720,1.7,46,4.5,NA,NA,2.64,NA,NA,2.57,NA,NA,NA,2.61
49,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-48,2,8,K,Ambient,Dry,111,48,159,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.75,0.32,0.490,0.038,0.124,25.77,40.25,1860,1.5,48,5.6,NA,NA,1.74,NA,NA,1.63,NA,NA,NA,1.69
50,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-49,3,9,B,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.60,0.35,0.500,0.051,0.130,31.66,37.44,1780,1.5,53,5.2,NA,NA,2.68,NA,NA,2.84,NA,NA,NA,2.76
51,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-50,3,9,C,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Janz,eCO2,2.69,0.34,0.490,0.049,0.129,34.83,34.92,1700,1.4,44,4.4,NA,NA,1.92,NA,NA,1.93,NA,NA,NA,1.93
52,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-51,3,9,E,Ambient,Wet,111,96,207,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.76,0.36,0.550,0.047,0.129,39.11,40.69,1850,1.3,56,5.7,NA,NA,2.40,NA,NA,2.26,NA,NA,NA,2.33
53,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-52,3,9,H,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Janz,eCO2,2.75,0.33,0.470,0.043,0.126,30.91,29,1760,1.2,44,5.0,NA,NA,1.97,NA,NA,2.22,NA,NA,NA,2.10
54,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-53,3,9,J,Ambient,Wet,171,96,267,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.56,0.32,0.470,0.041,0.109,32.07,29.71,1640,1.1,44,4.9,NA,NA,1.88,NA,NA,1.97,NA,NA,NA,1.92
55,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-54,3,9,K,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.50,0.32,0.480,0.045,0.113,34.85,29.67,1670,0.85,41,5.2,NA,NA,1.95,NA,NA,1.82,NA,NA,NA,1.88
56,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-55,3,10,B,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.64,0.33,0.500,0.048,0.127,36.54,39.67,1850,1.4,48,5.9,NA,NA,2.43,NA,NA,2.39,NA,NA,NA,2.41
57,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-56,3,10,C,Ambient,Dry,111,48,159,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,eCO2,2.75,0.32,0.490,0.044,0.124,38.41,42.33,1980,1.4,48,5.6,NA,NA,2.28,NA,NA,1.91,NA,NA,NA,2.10
58,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-57,3,10,E,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Janz,eCO2,2.74,0.36,0.470,0.047,0.137,40.79,39.44,1830,1.6,45,5.3,NA,NA,2.21,NA,NA,2.29,NA,NA,NA,2.25
59,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-58,3,10,H,Ambient,Dry,171,48,219,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.74,0.31,0.470,0.039,0.114,31.93,31.53,1750,0.92,41,5.0,NA,NA,1.35,NA,NA,1.40,NA,NA,NA,1.37
60,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-59,3,10,J,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Janz,eCO2,2.84,0.35,0.480,0.039,0.131,36.34,33.19,1840,1.1,44,5.4,NA,NA,1.58,NA,NA,1.66,NA,NA,NA,1.62
61,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-60,3,10,K,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Yitpi,eCO2,2.57,0.3,0.460,0.039,0.108,35.3,31.66,1710,1.2,44,5.5,NA,NA,1.93,NA,NA,2.02,NA,NA,NA,1.98
62,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-61,3,11,B,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Janz,aCO2,2.64,0.32,0.460,0.042,0.129,25.85,29.93,1720,2.0,41,4.7,NA,NA,1.91,NA,NA,2.24,NA,NA,NA,2.08
63,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-62,3,11,C,Ambient,Dry,171,48,219,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.80,0.36,0.530,0.049,0.127,38.43,32.11,1890,1.3,43,5.3,NA,NA,2.20,NA,NA,2.53,NA,NA,NA,2.37
64,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-63,3,11,E,Ambient,Dry,171,48,219,Low,0,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.70,0.36,0.480,0.044,0.134,38.54,34.01,1860,1.1,40,5.4,NA,NA,1.99,NA,NA,1.87,NA,NA,NA,1.93
65,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-64,3,11,H,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.67,0.33,0.520,0.047,0.126,38.3,39.77,1860,1.1,48,5.1,NA,NA,1.54,NA,NA,1.84,NA,NA,NA,1.69
66,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-65,3,11,J,Ambient,Dry,111,48,159,Low,0,6.75,0,TOS2,8/23/07,Janz,aCO2,2.86,0.35,0.470,0.040,0.140,37.67,43.31,1930,2.0,53,5.1,NA,NA,2.27,NA,NA,2.17,NA,NA,NA,2.22
67,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-66,3,11,K,Ambient,Dry,111,48,159,Medium,50,6.75,0,TOS2,8/23/07,Yitpi,aCO2,2.81,0.34,0.500,0.041,0.128,40.21,42.58,1920,1.5,50,5.7,NA,NA,2.11,NA,NA,1.64,NA,NA,NA,1.87
68,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-67,3,12,B,Ambient,Wet,171,96,267,Medium,50,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.65,0.32,0.450,0.040,0.126,24.08,33.59,1790,1.0,48,5.2,NA,NA,2.46,NA,NA,2.80,NA,NA,NA,2.63
69,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-68,3,12,C,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Yitpi,aCO2,2.58,0.35,0.470,0.045,0.126,24.97,30.72,1790,0.81,49,5.3,NA,NA,1.53,NA,NA,1.68,NA,NA,NA,1.60
70,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-69,3,12,E,Ambient,Wet,171,96,267,Low,0,6.75,0,TOS1,6/18/07,Janz,aCO2,2.64,0.34,0.460,0.046,0.126,32.47,30.72,1740,0.76,48,5.2,NA,NA,1.96,NA,NA,2.58,NA,NA,NA,2.27
71,AGFACE_Australia_Wheat,RawData,Horsham,Victoria,Australia,2007,Wheat,550,NA,380,12,2007-70,3,12,H,Ambient,Wet,111,96,207,Low,0,6.75,0,TOS2,8/23/07,Janz,aCO2,2.81,0.39,0.570,0.057,0.144,45.25,36.47,1800,1.5,48,5.4,NA,NA,2.40,NA,NA,2.43,NA,NA,NA,2.42
