uniq_ID,foodcode,SourceCode,FOODNAME_ENGLISH,Energy_kcal,Prot_g,Fat_g,Fe_mg,Zn_mg,Folate_mcg,VitB12_mcg,VitA_IU,VitA_RAE,Phytate,fgmajor,fgminor
239,6203,11354,"POTATO, WHITE, WITH PEEL, RAW (cooked nutrients)",69,1.68,0.1,0.47,0.1706,16.2,0,8,0,69,VEG,ROOT
251,6214,11367,BOILED POTATO WITHOUT PEEL,86,1.71,0.1,0.286,0.1651,9,0,3,0,81,VEG,ROOT
257,6221,11602,BOILED SWEET POTATO,116,1.49,0.14,0.496,0.0951,16,0,122,6,50,VEG,ROOT
268,6311,11418,"GOURD LEAF, RAW  (cooked nutrients)  (use 6361 ckd)",19,3.15,0.4,2.109,0.19,21.6,0,1844.9,92.15,42,VEG,LEAF
270,6313,11520,"ARAM LEAF, (DARK GREEN), RAW (cooked nutrients)",42,4.98,0.74,2.1375,0.3895,75.6,0,4583.75,228.95,42,VEG,LEAF
288,7000,19335,"SUGAR, WHITE  (cooked)",387,0,0,0.01,0,0,0,0,0,0,CONDIMENT,SUGAR
294,7006,2043,TUMERIC  (cooked),354,7.83,9.88,41.42,4.35,39,0,0,0,0,CONDIMENT,
296,7008,2014,CUMIN  (cooked),375,17.81,22.27,66.36,4.8,10,0,1270,64,0,CONDIMENT,
308,7021,2015,FIVE-SPICE BLEND,325,12.66,13.81,29.59,4.05,154,0,986,49,0,CONDIMENT,
321,8000,4044,"OIL, SOYBEAN  (cooked)",884,0,100,0.05,0.01,0,0,0,0,0,FAT,OIL
322,8001,4583,"OIL, MUSTARD  (cooked)",884,0,100,0,0,0,0,0,0,0,FAT,OIL
